,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Consumption new (kWh/m2),36.83517522433775,33.28229788780794,31.55049379292691,30.406021201071894,29.71037184473318,29.220603716450857,29.018713863289097,28.78377896401446,28.605791348539643,28.469259387608734,28.363855475462863
Heating intensity (%),0.8502919139948268,0.8593956159377757,0.8699634573277116,0.8763843248552158,0.8854656758362657,0.8945917553771803,0.9091528171847125,0.9192161201936647,0.9290820886639616,0.9393940217533185,0.9494616270425005
Energy poverty (Million),3.4956188875179466,3.4146007529085995,3.3176255935702317,3.229699757693071,3.1435189802419337,3.0569138196107524,2.840629668802333,2.6903799560888784,2.6068208718969768,2.4558652741680382,2.351277283058077
Consumption Electricity (TWh),39.893325397392324,39.81745393074288,39.9609646003876,40.058106602741006,40.239696476598574,40.4693018765998,41.170917565105604,41.5800222920764,42.03296702293458,42.41024834527614,42.84346445561061
Consumption Heating (TWh),12.017103324787247,12.627290987068765,13.213479732165682,13.79246802096976,14.367600964378822,14.93530980776292,15.495567675516567,16.048231025170846,16.59168554987125,17.126220299871232,17.649243487603055
Consumption Natural gas (TWh),129.97314125469018,128.0382977462554,126.23837202160325,123.27353525279763,121.24011916665161,119.10543878586543,117.01310923278854,116.04238480838244,115.01639660628092,113.80436827887648,112.55734705695407
Consumption Oil fuel (TWh),37.191452155726935,34.49386907100084,31.89435810987695,29.176647568403766,26.794708990915147,24.496507454894502,22.19779260099948,20.007011647981034,17.896998469979767,15.841960234333419,13.848761936685863
Consumption Wood fuel (TWh),74.27034607168494,76.00924031027978,77.39813033353653,78.7002484749014,80.147423945503,81.6341584143587,83.1099969690791,83.4551051650189,83.7867213526464,83.90301508360146,84.02798121929156
Consumption Electricity-Heat pump water (TWh),5.946135822553699,6.817098446306101,7.740780785144604,8.662366584927748,9.596143303571159,10.549257986856915,11.65437724378191,12.380432764179808,13.113424034142025,13.853365280036861,14.60316175975576
Consumption Electricity-Performance boiler (TWh),33.947189574838625,33.00035548443678,32.22018381524299,31.395740017813257,30.643553173027414,29.920043889742885,29.516540321323696,29.199589527896592,28.919542988792553,28.556883065239273,28.240302695854847
Consumption Heating-District heating (TWh),12.017103324787247,12.627290987068765,13.213479732165682,13.79246802096976,14.367600964378822,14.93530980776292,15.495567675516567,16.048231025170846,16.59168554987125,17.126220299871232,17.649243487603055
Consumption Natural gas-Performance boiler (TWh),129.97314125469018,128.0382977462554,126.23837202160325,123.27353525279763,121.24011916665161,119.10543878586543,117.01310923278854,116.04238480838244,115.01639660628092,113.80436827887648,112.55734705695407
Consumption Oil fuel-Performance boiler (TWh),37.191452155726935,34.49386907100084,31.89435810987695,29.176647568403766,26.794708990915147,24.496507454894502,22.19779260099948,20.007011647981034,17.896998469979767,15.841960234333419,13.848761936685863
Consumption Wood fuel-Performance boiler (TWh),74.27034607168494,76.00924031027978,77.39813033353653,78.7002484749014,80.147423945503,81.6341584143587,83.1099969690791,83.4551051650189,83.7867213526464,83.90301508360146,84.02798121929156
Consumption Heat pump (TWh),5.946135822553699,6.817098446306101,7.740780785144604,8.662366584927748,9.596143303571159,10.549257986856915,11.65437724378191,12.380432764179808,13.113424034142025,13.853365280036861,14.60316175975576
Consumption Direct electric (TWh),33.947189574838625,33.00035548443678,32.22018381524299,31.395740017813257,30.643553173027414,29.920043889742885,29.516540321323696,29.199589527896592,28.919542988792553,28.556883065239273,28.240302695854847
Consumption District heating (TWh),12.017103324787247,12.627290987068765,13.213479732165682,13.79246802096976,14.367600964378822,14.93530980776292,15.495567675516567,16.048231025170846,16.59168554987125,17.126220299871232,17.649243487603055
Consumption New (TWh),2.544164555825368,3.4481569087243527,4.3583149822356715,5.250275107442003,6.156186948540879,7.0638210183219305,8.017161076821886,8.946286097359867,9.87885085343712,10.814870330570088,11.754359575226982
Consumption Existing (TWh),290.80120364845624,287.5379951366233,284.3469898153343,279.7507308123715,276.63336259550624,273.57689532115944,270.9702229666674,268.18646884126974,265.4459181482758,262.2709419113886,259.1724385809182
Consumption A (TWh),1.0453628245054354,1.4867800210413116,1.933761024310096,2.3782857432353643,2.8249922274515886,3.273528687575343,3.7633074696930895,4.219146653166247,4.677736150098198,5.139073145491522,5.60348961000643
Consumption B (TWh),2.458041330415959,3.1320546473230073,3.832757947038059,4.539937699707877,5.248835983495508,5.970958957910515,6.734517488656174,7.339655217673348,7.951105255796955,8.576013522934119,9.208904982431456
Consumption C (TWh),31.201767417602067,33.18558391210011,35.09312420006499,36.848949982363166,38.6191684204128,40.39566186208255,42.360641427425776,43.84296716068297,45.301706674354214,46.93903334522435,48.53576475220487
Consumption D (TWh),96.09242893784493,95.75359206594415,95.43571688277022,94.50052154698042,93.95612147028088,93.35731469887295,93.01884542397269,92.82343954735757,92.56791674687494,92.37423342983364,92.10287770556633
Consumption E (TWh),68.78795046842693,67.28083376442486,65.79647596895097,64.01717808814898,62.52661386179594,61.064622944138385,59.78694199658055,58.45927147297231,57.119715132105576,55.76901780380379,54.39292014382294
Consumption F (TWh),51.405475942295645,50.801018176598326,50.166735627798964,49.192030531183775,48.52684268822958,47.80431925950072,47.19351651134231,46.65997641126212,46.07473865733703,44.643413421867706,43.27775342189657
Consumption G (TWh),42.35434128319066,39.34628945791593,36.44673314663671,33.52410232819397,31.08697489238082,28.77430992940088,26.12961372581873,23.78829847551506,21.631850385145984,19.645027572803592,17.80508754021656
Consumption standard Electricity-Heat pump water (TWh),5.347011398469679,6.05733293970271,6.813792934496689,7.58225109205911,8.354445813321865,9.142027972807718,9.937876276795443,10.47733571475069,11.0191668164321,11.563338663176776,12.112314530456915
Consumption standard Electricity-Performance boiler (TWh),72.67871110297102,70.49554276667678,68.5328487916194,66.63314937121886,64.85941396508257,63.144922953085775,61.28230002419453,60.302163309093544,59.4207513773652,58.33833530956508,57.37593666443177
Consumption standard Heating-District heating (TWh),12.061792668889808,12.612238810487685,13.13451833676937,13.648732700667566,14.158893319148076,14.660723188321514,15.154199128885988,15.639148686359212,16.113609813570907,16.577934803021577,17.02915080749099
Consumption standard Natural gas-Performance boiler (TWh),149.6830411615034,147.18458520441843,144.43364898646863,141.46822166189864,138.6786784392584,135.71940136926472,132.63815962936454,130.9152265684821,129.13553360208257,127.0921309811321,125.02603010691091
Consumption standard Oil fuel-Performance boiler (TWh),64.40940982257129,59.623102983700775,54.87863176169164,50.311464007540266,46.080677207051295,42.00170682400365,37.909377419529875,34.04368121263254,30.344337837433965,26.76119955848017,23.309056203081855
Consumption standard Wood fuel-Performance boiler (TWh),32.85624789332489,36.663380228597084,39.924530855402516,43.20842213303328,46.42128525493638,49.612235129303514,52.472359871940284,53.86456199782536,55.17351670371856,56.26736741275779,57.30418480453988
Emission content Electricity (gCO2/kWh),79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0
Emission content Natural gas (gCO2/kWh),227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0
Emission content Oil fuel (gCO2/kWh),324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0
Emission content Wood fuel (gCO2/kWh),30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Emission content Heating (gCO2/kWh),101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
Emission mean (gCO2/kWh),164.13193902584177,161.32011539717456,158.65071850690515,155.63090143270895,152.89631201371677,150.11495644873656,147.19273228537247,145.17677415621648,143.16661720174625,141.21434841562842,139.24633379564045
Emission (MtCO2),48.14734408761825,46.941919626935274,45.80330404288953,44.354963460529405,43.23747920130506,42.128368911043474,41.06491533050972,40.23323937501552,39.417315809827436,38.56363503730084,37.72556337023469
Emission Electricity (MtCO2),3.1515727063939933,3.1455788605286874,3.15691620343062,3.1645904216165395,3.178936021651287,3.197074848251384,3.252502487643343,3.284821761074036,3.3206043948118316,3.3504096192768147,3.3846336919932383
Emission Heating (MtCO2),1.213727435803512,1.2753563896939453,1.334561452948734,1.3930392701179457,1.4511276974022609,1.508466290584055,1.5650523352271732,1.6208713335422555,1.6757602405369965,1.7297482502869943,1.7825735922479087
Emission Natural gas (MtCO2),29.50390306481467,29.06469358839998,28.656110448903938,27.983092502385063,27.521507050829914,27.03693460439145,26.561975795842997,26.341621351502813,26.10872202962577,25.83359159930496,25.550517781928576
Emission Oil fuel (MtCO2),12.050030498455527,11.176013579004271,10.333772027600133,9.45323381216282,8.681485713056507,7.936868415385819,7.192084802723832,6.482271773945855,5.798627504273444,5.1327951159240275,4.48699886748622
Emission Wood fuel (MtCO2),2.228110382150548,2.280277209308393,2.321943910006096,2.361007454247042,2.4044227183650895,2.4490247524307605,2.4932999090723733,2.503653154950567,2.5136016405793917,2.5170904525080435,2.5208394365787465
Emission mean first year (gCO2/kWh),164.13193902584177,161.32011539717456,158.65071850690515,155.63090143270895,152.89631201371677,150.11495644873656,147.19273228537247,145.17677415621648,143.16661720174625,141.21434841562842,139.24633379564045
Emission first year (MtCO2),48.14734408761825,46.941919626935274,45.80330404288953,44.354963460529405,43.23747920130506,42.128368911043474,41.06491533050972,40.23323937501552,39.417315809827436,38.56363503730084,37.72556337023469
Emission New (MtCO2),0.4095135967681546,0.48570696839226907,0.5629421497737701,0.6366415666024512,0.7131782555194889,0.7900037351245298,0.8706819238665627,0.9499030318086201,1.0295047137239446,1.1094885393965854,1.1898560853408044
Emission Existing (MtCO2),47.737830490850094,46.45621265854301,45.24036189311575,43.718321893926955,42.52430094578557,41.33836517591894,40.194233406643164,39.283336343206905,38.38781109610348,37.454146497904254,36.53570728489388
Stock A (Million),0.49757674362823,0.7813723686914771,1.0674207545852237,1.3539970905698275,1.6408522524029865,1.9283483750479178,2.2162217159277557,2.499078123366308,2.782252724068949,3.0657264154283097,3.3497551611893606
Stock B (Million),0.7035481833828231,0.8614087211990272,1.030838657160429,1.2026305183750199,1.3746933511528798,1.5497431413800222,1.7250244096883964,1.856221979716989,1.988651335213764,2.123417063875621,2.2600530824663703
Stock C (Million),5.9967235521541165,6.244862875856342,6.494238275553981,6.743091776206989,6.976746878156355,7.2095552351023375,7.470927832152136,7.686227030905574,7.895270498639729,8.149106614234299,8.391744778655042
Stock D (Million),9.889370536915361,9.834245883992539,9.771307486375056,9.701877825309667,9.622178957207288,9.535135350028503,9.461665170686897,9.420290870631447,9.372312876146992,9.341926888096824,9.301615350048033
Stock E (Million),5.859711794050144,5.703300051100712,5.543540762802854,5.384359361125231,5.227128188661849,5.0708660112032,4.916743871468439,4.7859516295139235,4.655191685037666,4.524556401584176,4.392811131937959
Stock F (Million),3.155540269490643,3.0990497134274886,3.0377426289520773,2.972722791146517,2.9140663431321414,2.8529836624744074,2.7925435802518757,2.7464636940214353,2.6986577193707664,2.573899747616977,2.458637910460092
Stock G (Million),2.2328890263924714,2.09390721051129,1.9549966179739517,1.8224983643432777,1.705761022450893,1.5942037363782566,1.4362792243588516,1.3029070585485236,1.1817049266670834,1.071479308565289,0.9707374868990699
Stock efficient (Million),1.2011249270110531,1.6427810898905042,2.098259411745653,2.556627608944847,3.015545603555866,3.47809151642794,3.941246125616152,4.355300103083297,4.770904059282713,5.189143479303931,5.609808243655731
Stock low-efficient (Million),5.388429295883114,5.1929569239387785,4.992739246926029,4.795221155489795,4.619827365583035,4.447187398852664,4.2288228046107275,4.049370752569959,3.8803626460378497,3.645379056182266,3.429375397359162
Stock to renovate (Million),21.13751162684862,20.73050285903203,20.30758749610394,19.88145834192469,19.46913451145217,19.053188760084367,18.607231846766062,18.255613252715328,17.90786720722251,17.511862345863264,17.123801879345155
Stock Direct electric (Million),8.827128881770857,8.665148842716558,8.520051706048356,8.376333879113878,8.232880813689764,8.092221015102577,7.967645822356155,7.922926666551569,7.881238286264968,7.842550180820514,7.806810063786757
Stock Heat pump (Million),1.6922509320329897,2.0889229785382573,2.503914594333906,2.922334490782392,3.341889555241161,3.765899016528096,4.191187305523728,4.5354412303881535,4.880479490967392,5.226271451328541,5.573812175758234
Stock Oil fuel (Million),3.0635319192101496,2.877723967458564,2.6942438377609603,2.5130736464917445,2.334178435305396,2.157509154281979,1.983027697132356,1.8106904286530026,1.6405165290357617,1.472455320810475,1.3048468372836408
Stock Wood fuel (Million),1.5366308905995165,1.7501060584346333,1.9372852256767366,2.127457024072983,2.314905518377988,2.504068403056543,2.6818190103160338,2.789120935321263,2.893844089849587,2.9960711547258803,3.096255241490927
Stock Natural gas (Million),11.952721731351566,11.876105762335929,11.787573505161676,11.688253698522145,11.587314492118619,11.474523535783252,11.352938887742516,11.300212561552861,11.243446364698041,11.18267274166602,11.118201870297494
Stock District heating (Million),1.2630957510487106,1.3601392152949365,1.4570163144219372,1.5537249880933879,1.6502581784314632,1.7466143868621948,1.8427870814635625,1.9387485642373508,2.034517004329201,2.1300915900500663,2.2254287130388732
Stock Electricity-Heat pump water (Million),1.6922509320329897,2.0889229785382573,2.503914594333906,2.922334490782392,3.341889555241161,3.765899016528096,4.191187305523728,4.5354412303881535,4.880479490967392,5.226271451328541,5.573812175758234
Stock Electricity-Performance boiler (Million),8.827128881770857,8.665148842716558,8.520051706048356,8.376333879113878,8.232880813689764,8.092221015102577,7.967645822356155,7.922926666551569,7.881238286264968,7.842550180820514,7.806810063786757
Stock Heating-District heating (Million),1.2630957510487106,1.3601392152949365,1.4570163144219372,1.5537249880933879,1.6502581784314632,1.7466143868621948,1.8427870814635625,1.9387485642373508,2.034517004329201,2.1300915900500663,2.2254287130388732
Stock Natural gas-Performance boiler (Million),11.952721731351566,11.876105762335929,11.787573505161676,11.688253698522145,11.587314492118619,11.474523535783252,11.352938887742516,11.300212561552861,11.243446364698041,11.18267274166602,11.118201870297494
Stock Oil fuel-Performance boiler (Million),3.0635319192101496,2.877723967458564,2.6942438377609603,2.5130736464917445,2.334178435305396,2.157509154281979,1.983027697132356,1.8106904286530026,1.6405165290357617,1.472455320810475,1.3048468372836408
Stock Wood fuel-Performance boiler (Million),1.5366308905995165,1.7501060584346333,1.9372852256767366,2.127457024072983,2.314905518377988,2.504068403056543,2.6818190103160338,2.789120935321263,2.893844089849587,2.9960711547258803,3.096255241490927
Energy expenditures (Billion euro),28.3671979177751,28.411474335051267,28.31007204584899,28.603868671988785,28.612557091548798,28.600419003169304,28.237104214294977,28.133373408312416,28.03721461999307,27.897615277817017,27.768751700551665
Energy expenditures wt (Billion euro),20.1686729526837,20.258733862340367,20.366603641538948,20.381091790605907,20.492809319641374,20.610727203718273,20.349354365318483,20.328857313949584,20.31195673765778,20.261237604410308,20.216595664265153
Energy expenditures C1 (Billion euro),2.7493190564178955,2.7705335146716337,2.7901288661522092,2.796863405846317,2.8171703707289537,2.8380878401294605,2.8010398511143464,2.7973036556092086,2.794469200076162,2.7830495628317533,2.7732796135379614
Energy expenditures C2 (Billion euro),3.4559310229487235,3.477227495188546,3.4925642821261795,3.4920307257826613,3.509599724697444,3.528101601922946,3.4833578379803556,3.4789853222682647,3.4751304855051472,3.4645532262922947,3.4550140552941215
Energy expenditures C3 (Billion euro),3.975046145788003,3.991089029329314,4.008128224359575,4.007018824435866,4.025155376094458,4.044627018501413,3.991581898390396,3.985486932130565,3.98008907786387,3.9687637479194486,3.9585447221679937
Energy expenditures C4 (Billion euro),4.496171677825447,4.5085782474066,4.52802985350449,4.527021203689973,4.547420943827125,4.569394120475219,4.5080683864127,4.501939673619912,4.496585070472219,4.485401294063771,4.475345724347725
Energy expenditures C5 (Billion euro),5.4922050497036325,5.511305575744269,5.547752415396498,5.558157630851094,5.593462904293391,5.63051662268924,5.565306391420686,5.565141730321633,5.565682903740379,5.55946977330304,5.554411548917355
Carbon tax (Billion euro),1.6320658340170822,1.5818572461280889,1.5225758806921803,1.4519187221747565,1.3941851211476497,1.3370475315867312,1.28075034842658,1.235831520791327,1.191687796601637,1.146920047943037,1.102909937760832
Cee tax (Billion euro),0.6146340404687546,0.686918001843845,0.5911669201986048,1.0254366276863118,1.0322968309291334,1.0091610043377022,0.988813821075657,0.9736434180049993,0.9588509199870834,0.9429274415503393,0.9274548148050467
Energy taxes (Billion euro),3.4510695707830465,3.384794313211643,3.3294004486477524,3.2575721597512803,3.204343916870338,3.153016894001733,3.1190499258903253,3.088744651137884,3.060655397882461,3.028649958312016,2.9992232660553495
Energy vta (Billion euro),2.7571617221741005,2.748689460969496,2.7437597362077004,2.7243104625035404,2.71942650088858,2.7151181554386175,2.719368622089981,2.722877185078801,2.7272147728866702,2.7271244035806634,2.7281432922888476
Taxes expenditure (Billion euro),8.454931167442984,8.402259022153073,8.186902985746238,8.45923797211589,8.350252369835701,8.214343585364784,8.107982717482543,8.021096775013012,7.938408887357852,7.845621851386056,7.757731310910075
Carbon value (Billion euro),3.370314086133278,4.083947007543369,4.717740316417621,5.278240651802999,5.880297171377489,6.403512074478607,6.898905775525634,7.443149284377872,7.922880477775315,8.368308803094282,8.827781828634915
Health cost (Billion euro),6.031123678336662,5.875028157021487,5.68944899220521,5.508621443606814,5.354952412340682,5.204403601371456,4.917934063827784,4.69125611372957,4.4862188148997175,4.196144778289648,3.936486820982368
Health expenditure (Billion euro),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumption standard saving (TWh/year),3.4808714727584515,3.5305167567387343,4.035437271849219,3.9710266969360077,3.3921493702794123,3.3514135647827175,3.9513154937717445,3.2008928256076956,3.0701384902861832,3.6278485270895544,3.446925792038428
Consumption standard Electricity saving (TWh/year),1.4395972984118544,1.4184611969045022,1.1520316089746672,1.0759907116825929,0.9449697562413064,0.8686753430539937,1.0066484109621996,0.3798294023471982,0.2739364720566755,0.4670072547410058,0.33699380368227594
Consumption standard Heating saving (TWh/year),-0.5749139087906219,-0.5527040345950507,-0.5268285670760751,-0.5210709400747149,-0.5194174045973323,-0.513502437677948,-0.5076488930297298,-0.5020038437332115,-0.49414202814253905,-0.48664276826730024,-0.47677835207511166
Consumption standard Natural gas saving (TWh/year),2.0235723042245866,2.078561181415097,2.325144443409471,2.534464532181147,2.35487391633788,2.5203621504125806,2.6390178458017886,1.2754112338944879,1.321948463742828,1.5759490339367375,1.587367692105829
Consumption standard Oil fuel saving (TWh/year),4.454677246623731,4.341050228623459,4.316871317692723,4.158586555331425,3.8417714102760456,3.7090504215220506,3.7421138499293605,3.53614967116296,3.3924021823072827,3.2994486462428227,3.190639144491314
Consumption standard Wood fuel saving (TWh/year),-3.862061467711179,-3.754851815609264,-3.231781531151597,-3.2769441621844138,-3.23004830797845,-3.233171912527979,-2.9288157198918867,-1.4884936380637157,-1.4240065996780586,-1.2279136395636243,-1.1912964961658972
Consumption saving (TWh/year),3.0593307781488193,2.8788289295882237,2.7850914446700017,4.167280146579628,2.6672164855032747,2.5832587323367306,2.11006462551137,2.2589991166184973,2.192290421607538,2.6034214152717823,2.4989792354697897
Consumption Electricity saving (TWh/year),0.4793981709125319,0.4341587820444204,0.2151810334685038,0.2572285212034018,0.1725951095109508,0.12359124619707984,-0.3126141403377076,-0.045085691274486805,-0.08922682384134362,-0.014074785247970567,-0.07046329430116316
Consumption Heating saving (TWh/year),-0.5774576684956703,-0.5537108614466746,-0.5302586812037688,-0.523689086298134,-0.5205709151878413,-0.5139089890386721,-0.5073195885907538,-0.5009613469135328,-0.4927731026966917,-0.4849090058663563,-0.4750421085859351
Consumption Natural gas saving (TWh/year),2.1144320009785815,2.028370153355283,1.8870067986676418,3.0266984812758864,2.0975399498152,2.1898362854220608,2.140977119767996,1.0095168555985765,1.0532801843626487,1.2280023999467033,1.2496805411794583
Consumption Oil fuel saving (TWh/year),2.654937211766587,2.5550830881576942,2.459005070598611,2.579649067505734,2.247843861035154,2.1676475945551026,2.1722577536250576,2.0689094869030917,1.994224190599013,1.9459916385491045,1.890537336565929
Consumption Wood fuel saving (TWh/year),-1.6119789370132054,-1.5850722325225775,-1.245842776861025,-1.172606837107267,-1.33019151967018,-1.3839074047988333,-1.383236518953197,-0.27338018769512473,-0.27321402681607765,-0.07158883210972533,-0.09573323938846556
Emission saving (MtCO2/year),1.2713655837081461,1.2191085251744624,1.1511360777081094,1.4551171034672237,1.1255945852107274,1.1157523358393604,1.0723804272589206,0.837126728697676,0.8202078163440873,0.8570224530874313,0.8397937294964777
Consumption standard saving insulation (TWh/year),2.7669323811541395,2.7981689890321713,3.1207970936281906,3.0184129112582565,2.429538080743923,2.340082154806312,2.864813406675804,2.5074097439072025,2.3580636921012017,2.897503552446717,2.692488381319735
Consumption saving insulation (TWh/year),1.8427786754455329,1.8717874025697003,2.0453076988308765,1.978742066751287,1.6189842004319315,1.5666608801921138,1.915896391202651,1.6879910626340333,1.5965921247748547,1.9836068893049565,1.851772263447426
Consumption saving no rebound insulation (TWh/year),2.216999507016573,2.249204195670032,2.443647769664791,2.363574789933203,1.942308279547977,1.8793886421603325,2.27653638463463,2.007560773171491,1.9005484852204106,2.3519347993788364,2.1975712756538734
Rebound insulation (TWh/year),0.32953843140211764,0.3323527914278883,0.3507778055971137,0.33888325087936644,0.28471881006498506,0.27538770544188157,0.317579161046473,0.28141271743754115,0.26766361940732936,0.32434913154834577,0.3045102101465513
Performance gap (% standard),0.6660006178672409,0.6689329378984765,0.6553799037453708,0.6555571172422623,0.6663753135889104,0.6694896916222952,0.6687682997915623,0.6732011258772969,0.6770776082609449,0.68459170227072,0.6877549690817131
Emission standard saving insulation (MtCO2/year),0.5854633234697119,0.5827582248201494,0.6380954960845259,0.6093370856193114,0.4770952087152576,0.44999418534524477,0.5131959127259265,0.44018565802147863,0.40694928665733743,0.46396973991328405,0.42424692678363735
Emission saving insulation (MtCO2/year),0.3327115646590106,0.33341596850631633,0.3577364691264065,0.34251781197530573,0.2747895768770542,0.2614132278607566,0.29174864552995233,0.2532251999541107,0.2370839879918344,0.274232180745637,0.2536783495867117
Consumption standard saving insulation (%),0.22239423293975694,0.2241380683381164,0.2486117891105815,0.24643945227138422,0.22296973767899458,0.22030951053137532,0.2649603226680766,0.2608100511646702,0.25287260833433756,0.29975092628268263,0.2886905476389072
Consumption standard saving Multi-family - Owner-occupied (%),0.2682760997830082,0.2699776849408833,0.3206811535881036,0.3200546013275436,0.30944591002686217,0.3082094642222388,0.3050386799719832,0.30160943340029167,0.29967106989095454,0.29775758499180094,0.29586344614232885
Consumption standard saving Multi-family - Privately rented (%),0.292544520060546,0.29486796843210256,0.33475093097655817,0.3352390074256107,0.3289014417541685,0.32899954209368076,0.5424645811510878,0.5302246535777496,0.5163058344624712,0.5928603153720247,0.5811506067269262
Consumption standard saving Multi-family - Social-housing (%),0.26951182780378313,0.2710168394486804,0.3119663288083906,0.3116790280310243,0.30309014851096655,0.30203584233796943,0.2999560659160388,0.29702675211090307,0.29552210941454166,0.2940361536831357,0.2925646758724107
