Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Owner-occupied,C1,C1,Multi-family,Heating-District heating,A,1039.8618968906285,1611.7859401804742,2183.70998347032,2755.6340267601654,3327.5580700500113,3899.4821133398573,4471.406156629703,5043.330199919549,5615.254243209395,6187.178286499241,6759.102329789087,7659.312875566742,8559.523421344398,9459.733967122054,10359.94451289971,11260.155058677366
Owner-occupied,C1,C1,Multi-family,Heating-District heating,B,2061.0309906062403,2685.410657751482,3380.9903630487925,4087.8680449032904,4796.490491773178,5516.264038283738,6246.999534159609,6981.344392202406,7727.962578135312,8486.763981052794,9257.671287448999,9936.434237184694,10625.129141148931,11323.682416219419,12032.020569043358,12750.069265676522
Owner-occupied,C1,C1,Multi-family,Heating-District heating,C,5863.44450658603,6580.89309720625,7305.744813777778,8020.278959810461,8722.337482973287,9414.979305088464,10098.324833657045,10772.31254268521,11440.338477609206,12102.509401783256,12758.804826738764,13307.871296395353,13851.896443475382,14390.957709594013,14925.133414007316,15454.503343616572
Owner-occupied,C1,C1,Multi-family,Heating-District heating,D,10531.513202784965,10963.914595899407,11365.395707326627,11769.87060843477,12183.131400501752,12598.40765575295,13015.180604263016,13431.943702278513,13849.526513311082,14267.49966964337,14685.48087686183,15038.68448979403,15390.431193986362,15740.30899583381,16087.902693993434,16432.794388315608
Owner-occupied,C1,C1,Multi-family,Heating-District heating,E,10683.984245506284,10849.481635780334,10962.658261722176,11058.817717220445,11143.71533030196,11211.625525239826,11262.865667781525,11305.522206101441,11332.737648255012,11344.814268383798,11340.713826345467,11267.734273551512,11181.336904533766,11081.682393468967,10968.907452189329,10843.15795332043
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,C,50839.23019857521,51418.839532441794,52210.87757040863,52982.556030403764,53680.99519090739,54350.31617685493,54995.73278166659,55727.82875125984,56443.85852052765,57143.6888070355,57828.052958223634,58039.07369764319,58235.60784293705,58417.38601154811,58584.12078762281,58735.50263450228
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,D,77993.12744328768,77148.72809849537,75844.67184002585,74539.6072171462,73269.21935019178,71985.02166430853,70692.56285914815,69717.27954298102,68742.87839337105,67769.27297299325,66797.58214298412,65909.7946165094,65022.512546124606,64135.349252260676,63247.914610471824,62359.81100721775
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,E,45228.84748903117,44397.29543255928,43206.193506921394,42012.58426087344,40855.29588909747,39693.640491312566,38526.526807018534,37567.29555142108,36608.865451770616,35651.54520999283,34693.2542830954,33776.19230622381,32854.7101189794,31928.90438503153,30998.837028663926,30064.629025584134
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,C,232.64572755838105,226.83655909712695,236.66001716303663,243.7425188376501,246.4062725786209,246.53817875743871,244.1326657927897,238.25864807035663,229.99289411368008,219.3203325480406,205.97671352136868,189.92910986439412,171.14741510067785,149.60611013532147,125.2849498560608,98.16927793675853
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,D,2150.0271602333823,2067.8854487453114,1991.2009731944772,1908.9510327872433,1819.1391000416002,1724.1989945187645,1624.2244177322136,1518.5132977886012,1408.0891326474105,1292.9977645488175,1171.8756951871896,1044.8219398770632,911.9421177425502,773.3550194711557,629.1943644958268,479.6084416680919
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,E,4264.849946859168,3973.8507690000934,3678.349097242936,3391.582111314243,3114.977717243464,2846.618685030038,2586.3506184417333,2334.8199034679246,2090.9194418106968,1854.5439062867638,1623.4901732899593,1398.0255275571778,1178.3385059176937,964.7454097537953,757.5734729850116,557.1618590325216
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,F,3963.1744924148734,3699.87654356147,3427.7416556442954,3162.976627116712,2907.706444275642,2659.47312392974,2418.2053914332546,2184.5116018701797,1957.5114968445787,1737.165039090099,1521.4632533457354,1310.7071204907452,1105.122179123667,905.0519854318366,710.8484906947226,522.8727814965827
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,A,21986.4870385346,29653.31345738985,37393.9388368117,45138.24206348129,52885.124939746784,60642.57404972473,68403.64550886159,76056.45252373487,83711.37754665101,91368.51009889813,99028.57569277367,111342.0046339406,123658.52480383968,135978.23780783435,148301.2444338241,160631.06824718087
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,B,14747.856743290013,16662.455862255727,19886.892126895462,23201.09488567343,26393.361199028346,29678.85988911721,32981.315435859324,34599.06223965353,36238.409527188895,37899.722489872685,39593.63125783911,41325.49678645309,43107.62761213747,44924.50023886293,46774.39449528812,48824.89054747121
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,C,38952.95709643907,40489.61017523003,42749.59018095252,45038.88712736542,47531.71014019355,50119.92171586503,52738.98706078049,53895.851929498676,55061.997821518526,56237.199492242646,57429.85765483791,58637.32392839466,59842.83378525797,61061.563766906016,62294.193216957676,63376.35975826734
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,D,652.9536467557269,784.3390010806287,992.2684889077613,1188.6635040873882,1375.906008569314,1557.93576611243,1733.3217588393034,1790.6046742112937,1844.7427926980117,1895.9572252439693,1944.7973526650794,1990.772411217362,2034.709375311233,2077.4306342042514,2119.0927513122724,2153.357282542032
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,E,446.59161604458654,441.61667258220336,433.5716131913215,425.54169608204114,420.41556267128703,415.1330594577507,409.32782146447306,403.76636856792214,398.0656982279831,392.2279508806041,386.19454907438046,379.98101104170183,373.57052550127935,366.9632751431812,360.15874929341464,351.7530150189186
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,F,23.925116939394417,22.89787187322805,21.578048263148357,20.33009874975732,19.278905606177315,18.272811933486683,17.32141025211797,16.484002455353167,15.680169337673698,14.908685466505132,14.166300705908293,13.45117524640086,12.763097904207827,12.101161787897162,11.464468493769612,10.805289842979967
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,C,5387.997936848121,6685.800321241116,8030.379175245283,9379.721968101157,10717.581040144372,12063.93377043536,13421.498695376835,14869.12036205068,16321.094426100937,17777.867745398715,19242.175876915,20512.238659762446,21790.176507661145,23076.435962993382,24371.311465340747,25691.939810900414
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,D,93613.66866713935,93341.96918695304,93963.78310021764,94481.64226733451,94072.19448431498,93660.36672266299,93360.41529439112,94486.02928572882,95621.48068736825,96768.41217079082,97938.17510829447,99108.98408834338,100296.46116246618,101502.5505847122,102728.59548651989,104419.49730925803
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,E,84862.01696905063,83004.93703569553,81211.87865941222,79433.8815536539,77407.09815571511,75429.35551703576,73503.00478117408,72913.4168602983,72347.0977770153,71802.36599211911,71271.04629897102,70731.66124366547,70242.74334547193,69755.87823076852,69268.55682276782,68972.69752200895
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,F,48279.7665281745,47955.75421955942,47200.98980067144,46420.316236687104,45908.935499195635,45384.666353876186,44977.71828696813,45564.97284197743,46121.581973434586,46648.15519758285,47146.36077926136,47583.859549779736,47945.75457669796,48275.72416943899,48572.04700396864,48646.231848267904
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,G,55823.616994970784,53982.896992269336,51317.62179234614,48776.77247412745,47100.26309875952,45498.445616901416,44325.41786663473,44508.41544646075,44723.634179935994,44970.076133236296,45248.85481440152,45468.34466968131,45719.23006431272,45998.05896083495,46300.78403905716,46154.63557836547
Owner-occupied,C1,C1,Single-family,Natural gas-Performance boiler,C,40218.04807869219,42842.52838275903,46429.368122991444,49860.401556374694,52363.669038363725,54687.13819873749,56970.74076015229,59357.83525874914,61675.77424587119,63926.16104126311,66119.59146464907,68314.05874403298,70445.42701053755,72515.7886898939,74525.66884978043,76826.355876098
Owner-occupied,C1,C1,Single-family,Natural gas-Performance boiler,D,188797.49577115342,187266.3281486359,184025.49432767218,180779.47967980694,177415.14187904182,173797.43918426379,170045.42306245098,168670.84571158994,167278.98475096535,165867.61193594022,164444.1756491604,163046.24469486534,161627.73512503254,160184.8958518283,158712.9173873753,157396.87802637427
Owner-occupied,C1,C1,Single-family,Natural gas-Performance boiler,E,45232.573263059276,44242.28389819503,42821.93694160655,41388.29528514708,40008.903146566816,38592.924797008505,37164.85538874369,36381.028002569736,35596.06704856881,34809.62194156689,34022.345136258846,33240.049205729716,32514.95688633163,31779.665543467527,31032.60108873475,30263.539067701342
Owner-occupied,C1,C1,Single-family,Natural gas-Performance boiler,F,81530.6684997583,82128.09059212053,80823.69160684884,79282.52155539206,78548.30674640689,77546.04738462821,76391.23023285897,76645.95216819116,76765.49541615525,76750.52861715916,76605.44353347785,76361.13612888302,75922.3458354743,75349.21176652868,74639.48666507006,73310.6638231906
Owner-occupied,C1,C1,Single-family,Natural gas-Performance boiler,G,8973.579318219941,8939.884415982593,8587.725477411173,8181.817392624338,7875.5906990588455,7535.346724391851,7187.526210942083,7125.630431939683,7033.0342057168045,6913.378676223324,6771.826636891269,6611.823859871697,6434.242132142761,6241.0444182630135,6034.115480373775,5764.197676561962
Owner-occupied,C1,C1,Single-family,Oil fuel-Performance boiler,D,37871.593629911025,36194.57904867156,35345.80173044165,34348.05461368852,32582.32552835666,30759.930663019484,28899.635936136365,26955.03986666511,24947.632121295417,22875.19614380174,20715.38840839776,18461.341018408504,16112.11097935693,13667.027955556396,11125.686686429508,8561.371430622905
Owner-occupied,C1,C1,Single-family,Oil fuel-Performance boiler,E,60946.47224996339,57856.688771478504,55677.79155078989,53305.51613475218,50042.12222352286,46723.29870445345,43331.81404911532,39875.492147255034,36391.96120525658,32885.83268053466,29323.593295891787,25714.43294846525,22072.52246842654,18400.077110321967,14708.432399060084,11100.446197877098
Owner-occupied,C1,C1,Single-family,Oil fuel-Performance boiler,F,34231.02597555833,31627.95714277862,28936.773784670604,26374.493318518293,24057.079220348445,21840.817666153347,19805.306087034078,17811.324081702685,15893.754415453202,14049.781304299499,12260.400326886778,10526.566538347652,8841.91854418353,7215.733047223423,5648.967078773383,4124.881025446385
Owner-occupied,C1,C1,Single-family,Oil fuel-Performance boiler,G,117116.59527882007,109213.72684791296,99849.02163769885,90890.97774997732,83538.50607098226,76383.93804705596,69344.75485264402,62591.33262752286,56035.40136284156,49677.02276348753,43455.82851923957,37386.87323907887,31477.7981871044,25739.52409739433,20183.104818564305,14673.344631008085
Owner-occupied,C1,C1,Single-family,Wood fuel-Performance boiler,B,5971.384190709079,8821.285001416738,11712.6902763455,14615.731483981972,17517.284762807845,20434.499813889564,23356.367995031305,26154.20429574488,28956.68430903294,31763.998325545937,34578.55837022091,38487.33315557461,42409.615877326876,46339.30233498441,50276.46594386485,54251.11692172259
Owner-occupied,C1,C1,Single-family,Wood fuel-Performance boiler,C,33146.17287615425,37071.37962569747,41734.47304796205,46538.49282543678,50977.44856311656,55547.66046957761,60080.66713986836,62542.568093558286,65016.70050629231,67502.15618212604,70014.57699322449,72562.40073323311,75121.40555318215,77697.60722830635,80289.2628395082,83222.55770957291
Owner-occupied,C1,C1,Single-family,Wood fuel-Performance boiler,D,32308.204577227287,34858.461148462855,37606.21121466985,40361.83355563944,43098.77386972681,45879.457527149716,48461.43710795335,49581.503981471586,50681.84725690824,51762.03596341404,52830.48675701937,53897.966200923795,54950.19333182815,55985.425174503594,57002.406094894075,57998.13177370731
Owner-occupied,C1,C1,Single-family,Wood fuel-Performance boiler,E,21389.77964120445,22994.213648966193,24999.298506461513,27060.23453149307,29128.52228686244,31284.24210921019,33340.11534092223,34014.25762516328,34670.68416058705,35306.56594609662,35921.26777060017,36525.47245228606,37142.52591613354,37724.9854769093,38268.30187007513,38739.285703988404
Owner-occupied,C1,C1,Single-family,Wood fuel-Performance boiler,F,31440.758592979517,34221.12282016127,36877.16789619002,39435.234396557724,42149.57823269488,44817.15689993663,47212.86579807763,48050.719106714714,48816.752310089374,49511.66607699866,50137.788011055876,50719.537421342415,51187.10165069426,51580.441573154036,51897.342945580705,51873.04810123651
Owner-occupied,C1,C1,Single-family,Wood fuel-Performance boiler,G,11181.752346421756,11495.014646402904,11749.622775239593,11975.150498042818,12235.348609459004,12465.527250338251,12621.324785265868,12443.673181656495,12252.277137892894,12047.874673392187,11832.430943766716,11610.762541481869,11377.883227136896,11133.98857072659,10879.294046035087,10548.713005605045
Owner-occupied,C2,C2,Multi-family,Electricity-Heat pump water,A,4823.749124381668,10670.859861848057,16714.2788425194,22773.692839355597,28845.29348134994,34934.06708152752,41033.61668969209,46889.59088431791,52749.80897029995,58614.06405959873,64483.67591358516,74047.0343977263,83615.78186120748,93189.71201744274,102768.60516794364,112352.22338404058
Owner-occupied,C2,C2,Multi-family,Electricity-Heat pump water,B,7467.94119642341,8700.621508068903,10803.86704661194,12891.073970827416,14960.284566496892,17021.08394527637,19041.80581550214,19995.892340868053,20937.564968126575,21866.698007747804,22789.73188209093,23732.838447246828,24669.579068207688,25599.44668902402,26521.928420821838,27436.489045933973
Owner-occupied,C2,C2,Multi-family,Electricity-Heat pump water,C,4472.350135044062,4841.008568776901,5571.477278960759,6299.590420822178,7016.677314459865,7740.683952811312,8462.666978012237,8708.03002955112,8949.037203672107,9185.86417070939,9420.552511444275,9660.996931603684,9899.532010559862,10136.193044888743,10371.006561642675,10603.989029061137
Owner-occupied,C2,C2,Multi-family,Electricity-Heat pump water,D,563.5964603454427,733.4678732261756,1091.932837599452,1446.8166966953474,1786.4909548614953,2123.6456945152418,2459.4026859105848,2549.846030241341,2636.522707174947,2719.5321582553424,2799.559909374316,2879.228834496525,2955.9961012694716,3029.8879142519336,3100.9229815707067,3169.113072047916
Owner-occupied,C2,C2,Multi-family,Electricity-Performance boiler,B,1050.2814048174453,1350.3618061938582,1650.4422075702712,1950.5226089466842,2250.603010323097,2550.6834116995096,2850.7638130759224,3150.844214452335,3450.924615828748,3751.0050172051606,4051.0854185815733,4375.810681027471,4700.535943473369,5025.261205919267,5349.986468365165,5674.711730811063
Owner-occupied,C2,C2,Multi-family,Electricity-Performance boiler,C,57934.595953289165,57582.85763923148,56915.18206372499,56219.02625651885,55454.474020625115,54673.71573942076,53874.889989765434,53638.9022653846,53388.06648963495,53123.360703286235,52841.517434992624,52604.75967271438,52353.35682689844,52088.35863000436,51810.83939199612,51521.918545195746
Owner-occupied,C2,C2,Multi-family,Electricity-Performance boiler,D,29378.500418370466,28909.866946915885,28173.9238436953,27443.203311639798,26721.261215993803,26005.638458672234,25304.988372625758,24916.453813709555,24530.00447342545,24146.004575427025,23762.47760033578,23404.085338624925,23046.856348320733,22691.24766494845,22337.713856437258,21986.716619598737
Owner-occupied,C2,C2,Multi-family,Electricity-Performance boiler,E,26176.119922456026,25108.562370969474,23799.11184427521,22546.478297561385,21354.03550854062,20215.183269951212,19144.396969840247,18370.380028840045,17623.601291725074,16903.287423096976,16205.569622917981,15545.301016049869,14904.877966757864,14283.949806310737,13682.131692803901,13099.052813601162
Owner-occupied,C2,C2,Multi-family,Electricity-Performance boiler,F,20430.52064310473,20174.932684395735,19825.900665640645,19473.309545667402,19132.486641883574,18787.63921914044,18448.395314770325,18117.967283079735,17784.640875815847,17448.640540562752,17108.671429719536,16787.55036972554,16461.169826804424,16129.64800105803,15793.06786328318,15451.525528184337
Owner-occupied,C2,C2,Multi-family,Electricity-Performance boiler,G,12559.549447614696,12199.734192183867,11787.042791481987,11384.274300531893,10999.842453243686,10624.113741132323,10269.498631828454,9938.844488265559,9615.820071634891,9300.291587392696,8991.48030111397,8700.325333582701,8414.472077728517,8133.798417820741,7858.163621012343,7587.4333264174875
Owner-occupied,C2,C2,Multi-family,Heating-District heating,A,1500.4020068820646,2325.6231106672003,3150.844214452336,3976.0653182374717,4801.286422022607,5626.507525807743,6451.728629592879,7276.949733378015,8102.17083716315,8927.391940948286,9752.613044733422,11051.514094517011,12350.415144300601,13649.316194084191,14948.21724386778,16247.11829365137
Owner-occupied,C2,C2,Multi-family,Heating-District heating,B,3253.7650144340855,4255.430804237638,5346.912903452087,6458.414032209516,7573.230315087183,8708.073703119766,9862.699506749668,11024.563892819897,12207.681275412084,13411.939905704654,14637.206292068002,15720.899188146494,16821.952150608584,17940.28297406012,19075.8114345421,20228.45823731775
Owner-occupied,C2,C2,Multi-family,Heating-District heating,C,9094.137609563079,10163.099091443923,11244.814531437965,12310.845176755101,13357.79620279814,14390.57010343462,15409.371110278926,16414.625740499712,17410.466897874212,18397.065310057806,19374.32662243467,20191.178429888045,21000.002823282102,21800.9347779883,22594.110441066532,23379.668525522855
Owner-occupied,C2,C2,Multi-family,Heating-District heating,D,15721.344547792964,16288.108458742317,16812.816521845496,17340.2074058908,17880.444988655257,18421.800324429114,18963.57121333354,19505.470856009237,20047.276486119892,20588.412551683577,21128.242961936397,21579.82299151439,22028.204931127133,22472.86089059822,22913.263372309455,23348.886950702345
Owner-occupied,C2,C2,Multi-family,Heating-District heating,E,15278.433178363452,15422.182587439267,15498.188426781846,15551.926754870336,15593.24176214499,15612.276224586783,15609.61578358334,15596.870376355586,15564.46333588708,15512.930221623943,15440.885895768472,15281.777066101315,15106.193077969638,14914.484775568344,14706.968678665064,14483.972367718283
Owner-occupied,C2,C2,Multi-family,Natural gas-Performance boiler,C,78290.51941899696,79428.00948932611,80853.62817332048,82245.36672063066,83503.56471878041,84713.80145962191,85880.6711108735,87136.5480138068,88362.48550646819,89558.28926068038,90725.36789380264,91217.41704906384,91682.60475921119,92120.51019901012,92530.68008754923,92912.62213364428
Owner-occupied,C2,C2,Multi-family,Natural gas-Performance boiler,D,120821.60987045823,119335.00530072542,117310.42659018385,115281.35878971183,113314.63147265009,111329.17838668637,109328.06386431023,107767.49061306154,106208.87495690478,104652.1150415869,103099.1825818151,101676.60843076829,100255.5344545757,98835.37040263411,97415.5210016626,95995.38008255357
Owner-occupied,C2,C2,Multi-family,Natural gas-Performance boiler,E,64970.22890958992,63615.28301068414,61841.51321916324,60063.123189501726,58348.33796351184,56631.08926811692,54906.643183157124,53467.6169611301,52032.988333852394,50603.190043555485,49175.31806692229,47807.74252919975,46437.13191318841,45063.641995992664,43687.38142794839,42308.54449106913
Owner-occupied,C2,C2,Multi-family,Oil fuel-Performance boiler,C,371.5102060813391,379.61222661595343,401.86747060650515,418.9315186242073,427.48034084194694,431.14717433770903,429.9184626964494,422.01120626586487,409.4817496824497,392.29867207879994,369.98262258790726,342.46428613943203,309.6796530602618,271.57326553129144,228.09951368604163,179.22326179333245
Owner-occupied,C2,C2,Multi-family,Oil fuel-Performance boiler,D,3408.3692428651393,3281.2012543519527,3163.1002093782204,3035.642229983857,2895.324582940943,2746.318394330119,2588.817645828816,2421.860812880052,2246.9943609875118,2064.3300667723584,1871.7275187962348,1669.3792128903287,1457.4883900154553,1236.279690570991,1006.001934596573,766.9275153040062
Owner-occupied,C2,C2,Multi-family,Oil fuel-Performance boiler,E,6506.8568510931855,6050.995354668257,5592.217418813468,5147.946748506148,4720.973423016142,4307.691324130853,3907.8230974742382,3522.4394650389568,3149.659549506602,2789.284845511129,2437.9673460594586,2096.083533942337,1763.8894321313396,1441.8301110052623,1130.363744970092,829.9628628160478
Owner-occupied,C2,C2,Multi-family,Oil fuel-Performance boiler,F,5590.296920289671,5205.745369689128,4812.539073199505,4431.026776132669,4065.0394713601254,3710.2557585439476,3366.5371985767397,3034.969386841735,2713.950104450971,2403.3873310842364,2100.4704921938182,1805.5943429052597,1519.0459039827076,1241.2708251448257,972.7214545610238,713.8575716631393
Owner-occupied,C2,C2,Single-family,Electricity-Heat pump water,A,43791.28216773226,58621.14208990439,73639.6409034747,88692.29256553299,103676.24513873855,118689.96530046474,133720.15015206233,148524.34695825068,163337.120313705,178158.95710856534,192991.70852289465,216818.9691599071,240658.25236989604,264582.2079324135,288524.6516151676,312486.2256899703
Owner-occupied,C2,C2,Single-family,Electricity-Heat pump water,B,28972.10169359544,33949.83395128923,40457.1092110954,47148.563537108006,53898.5564439559,60910.174151111634,68013.14471597523,71611.73805527431,75275.10477915652,79003.78592052504,82819.95506403022,86737.3212000182,90742.54271033443,94833.29055252222,99011.00049359887,103275.21703750112
Owner-occupied,C2,C2,Single-family,Electricity-Heat pump water,C,74589.41291973698,77880.63768874353,81940.95586334207,86053.48734727419,90359.47133161349,94819.12709257414,99334.02946726134,101166.39723764847,103010.8168412813,104866.87372629323,106750.22580507991,108653.69559513853,110580.83767308379,112463.9587645895,114366.27371100042,116285.59511821454
Owner-occupied,C2,C2,Single-family,Electricity-Heat pump water,D,1468.9587350235822,1764.4248080076338,2133.584393865378,2481.785998950207,2806.4654639405526,3119.2510236606595,3420.835571776925,3510.2146555271243,3594.9635134871273,3675.5084941709624,3752.9326704356918,3825.849176930858,3896.2275941714147,3961.556971435603,4024.891194524285,4086.43905421557
Owner-occupied,C2,C2,Single-family,Electricity-Heat pump water,E,991.9004700249975,977.2488843637055,954.752173151472,932.5493674683609,914.543883317267,896.3790358954494,878.3911987492615,861.3987980754808,844.288384405391,827.0674978836837,809.6593138484959,792.0166332866451,774.149609841844,755.2534402043755,736.183866288081,716.9459723496077
Owner-occupied,C2,C2,Single-family,Electricity-Heat pump water,F,44.27147727799424,42.09366677803388,39.43488101512261,36.93695236735074,34.68639877168085,32.55253563824174,30.567712799830808,28.885638901793214,27.284102148913444,25.75952685003051,24.305964921352846,22.882981610722098,21.528038012306844,20.23817693427459,19.01052963222536,17.842371876890887
Owner-occupied,C2,C2,Single-family,Electricity-Performance boiler,C,10457.068592504138,13026.137876149067,16743.016429156065,20439.641402785794,23424.778727908903,26448.885804482925,29495.792843181433,32749.497981586705,36038.64790944997,39364.37592185145,42732.88899008086,45755.37240341087,48822.24171084031,52233.912306074206,55700.47174256041,59223.264963391244
Owner-occupied,C2,C2,Single-family,Electricity-Performance boiler,D,209427.18049354912,209120.33631003654,210572.36446224325,211727.158537895,212044.56484118022,212273.1812952455,212500.8306236898,215716.95479144563,218952.35107876034,222212.56755282488,225508.287783305,228808.1251378544,232149.47605850679,235517.58193250434,238933.63066419237,242402.28107288695
Owner-occupied,C2,C2,Single-family,Electricity-Performance boiler,E,187321.23699254694,181822.78889108982,176276.51937545065,170853.022427006,165642.96382967083,160569.87740193272,155846.32301442104,153951.19931299417,152131.67722243012,150383.8299919956,148689.89240190104,146996.4412142336,145338.91366951677,143700.4280422261,142086.51040755401,140492.01150863935
Owner-occupied,C2,C2,Single-family,Electricity-Performance boiler,F,88897.94597453513,87438.73608471056,85456.07085074273,83455.65471260593,81770.57503847503,80086.23581662058,78710.69383610961,79141.76009493673,79533.41202265349,79887.27884375717,80210.38424080945,80427.85983298022,80608.4443760907,80658.70475184028,80669.83171437573,80638.99099227309
Owner-occupied,C2,C2,Single-family,Electricity-Performance boiler,G,83501.95258824324,79380.26051187782,73993.61132654868,68967.50844098249,64978.77557417143,61229.62986384072,58364.43391397339,57622.885280193674,56972.74468551799,56408.1973253022,55933.29999106358,55375.37462210714,54897.400897557636,54315.81156605609,53802.33752479033,53347.530291976334
Owner-occupied,C2,C2,Single-family,Natural gas-Performance boiler,C,85652.57281791921,92873.69616348374,102862.58909412807,112454.26332680784,120149.14220650216,127373.95338763038,134213.91735696644,141164.60473021326,147942.40784185624,154548.12936078024,160990.72035360616,167448.61187129212,173742.61397436445,180134.07453350426,186357.49220802923,192410.3790455839
Owner-occupied,C2,C2,Single-family,Natural gas-Performance boiler,D,368923.2790801599,364718.58031447476,357772.64982710767,350785.92677788535,344188.36633307376,337096.5201541911,329837.86300685274,327225.56434696267,324567.0707807918,321855.97112173116,319109.2368896708,316411.39886166627,313657.42092199135,310829.36451010575,307921.3100411287,304922.57603336807
Owner-occupied,C2,C2,Single-family,Natural gas-Performance boiler,E,84821.24693007827,82443.57909050178,79290.72915655408,76129.88110935947,73186.46372671053,70200.8663253417,67253.18339688481,65678.4603280079,64101.832305523414,62522.88252846434,60944.46303463937,59371.61199712683,57791.105563873156,56196.492015448835,54587.15248229445,52961.33016870153
